nb_iters,time,estimation
202,0.00033164024353027344,2.891089108910891
202,0.0003352165222167969,3.207920792079208
202,0.00033092498779296875,3.267326732673267
202,0.0003287792205810547,3.1881188118811883
202,0.0003287792205810547,3.2475247524752477
202,0.0003306865692138672,3.227722772277228
244,0.00039649009704589844,3.098360655737705
244,0.000396728515625,3.19672131147541
244,0.00039505958557128906,3.360655737704918
244,0.0003979206085205078,3.19672131147541
244,0.0004093647003173828,3.081967213114754
244,0.00039768218994140625,2.9836065573770494
244,0.0003986358642578125,3.2459016393442623
244,0.00039649009704589844,3.1639344262295084
244,0.0003972053527832031,3.1311475409836067
244,0.0003962516784667969,3.081967213114754
294,0.00047659873962402344,3.3333333333333335
294,0.00048065185546875,3.0884353741496597
294,0.0004792213439941406,3.0884353741496597
294,0.0004916191101074219,3.1156462585034013
294,0.0004792213439941406,3.0884353741496597
294,0.0004792213439941406,3.1020408163265305
294,0.00047659873962402344,3.1700680272108843
294,0.0004780292510986328,3.183673469387755
294,0.0004782676696777344,3.0884353741496597
294,0.00047779083251953125,3.1564625850340136
355,0.0005774497985839844,3.211267605633803
355,0.0005908012390136719,3.2
355,0.0005774497985839844,2.9746478873239437
355,0.0005807876586914062,3.0535211267605633
355,0.0005800724029541016,3.1887323943661974
355,0.0005793571472167969,3.2
355,0.0005793571472167969,3.1436619718309857
355,0.0005850791931152344,3.064788732394366
355,0.0005807876586914062,3.2
355,0.0005774497985839844,3.0422535211267605
429,0.0006999969482421875,3.058275058275058
429,0.0006983280181884766,3.104895104895105
429,0.0007026195526123047,3.0955710955710956
429,0.0007121562957763672,2.9743589743589745
429,0.0007004737854003906,3.1515151515151514
429,0.0007030963897705078,3.0675990675990676
429,0.0007021427154541016,3.226107226107226
429,0.0007059574127197266,3.1421911421911424
429,0.0007004737854003906,3.0303030303030303
429,0.0007054805755615234,3.076923076923077
517,0.0008473396301269531,3.1102514506769827
517,0.0008463859558105469,3.0483558994197293
517,0.00084686279296875,3.172147001934236
517,0.0008482933044433594,3.032882011605416
517,0.0008502006530761719,3.1566731141199225
517,0.0008478164672851562,3.2030947775628626
517,0.0008456707000732422,3.117988394584139
517,0.0008473396301269531,3.0483558994197293
517,0.0008554458618164062,3.2572533849129592
517,0.0008466243743896484,3.1876208897485494
625,0.001026153564453125,3.1744
625,0.0010235309600830078,3.1168
625,0.0010251998901367188,3.1872
625,0.0010302066802978516,3.1232
625,0.0010251998901367188,3.2128
625,0.0010254383087158203,3.1104
625,0.0010297298431396484,3.1872
625,0.0010302066802978516,3.296
625,0.0010259151458740234,3.136
625,0.001024007797241211,3.1296
754,0.0012464523315429688,3.2095490716180373
754,0.0012426376342773438,3.0450928381962865
754,0.0012423992156982422,3.050397877984085
754,0.0012443065643310547,3.129973474801061
754,0.0012409687042236328,3.076923076923077
754,0.0012378692626953125,3.2095490716180373
754,0.0012362003326416016,3.156498673740053
754,0.0012445449829101562,3.2625994694960214
754,0.0012373924255371094,3.1989389920424403
754,0.0012447834014892578,3.0875331564986737
910,0.001504659652709961,3.195604395604396
910,0.0014977455139160156,3.2263736263736265
910,0.0014982223510742188,3.1648351648351647
910,0.0014977455139160156,3.208791208791209
910,0.0015006065368652344,3.1384615384615384
910,0.00150299072265625,3.120879120879121
910,0.0014963150024414062,3.134065934065934
910,0.0014979839324951172,3.1296703296703297
910,0.0015044212341308594,3.1076923076923078
910,0.0014955997467041016,3.0681318681318683
1098,0.0018138885498046875,3.07103825136612
1098,0.0018062591552734375,3.1293260473588345
1098,0.001811981201171875,3.2058287795992713
1098,0.0018107891082763672,3.1948998178506374
1098,0.0018115043640136719,3.1293260473588345
1098,0.0018231868743896484,3.060109289617486
1098,0.0018084049224853516,3.1876138433515484
1098,0.0018391609191894531,3.092896174863388
1098,0.0018086433410644531,3.081967213114754
1098,0.001811981201171875,3.085610200364299
1325,0.002179861068725586,3.1064150943396225
1325,0.0021903514862060547,3.157735849056604
1325,0.0021839141845703125,3.1245283018867926
1325,0.0021889209747314453,3.0852830188679246
1325,0.002180814743041992,3.0943396226415096
1325,0.002183198928833008,3.1426415094339624
1325,0.0021882057189941406,3.18188679245283
1325,0.0021851062774658203,3.151698113207547
1325,0.0021822452545166016,3.1849056603773587
1325,0.0021822452545166016,3.1667924528301885
1599,0.0026388168334960938,3.207004377736085
1599,0.002638101577758789,3.151969981238274
1599,0.002636432647705078,3.189493433395872
1599,0.002646923065185547,3.1219512195121952
1599,0.0026330947875976562,3.151969981238274
1599,0.0026323795318603516,3.1369606003752346
1599,0.002650737762451172,3.08692933083177
1599,0.002636432647705078,3.161976235146967
1599,0.0026311874389648438,3.2220137585991244
1599,0.002641439437866211,3.131957473420888
1930,0.003186941146850586,3.144041450777202
